"ResponseID","zav1.1","zav1.2","zav1.3","zav1.4","zav1.5","zav1.6","zav1.7","zav1.8","zav1.9","zav1.10","zav1.11","zav1.12","zav1.13","zav2.1","zav2.2","zav2.3","zav2.4","zav2.5","zav2.6","zav2.7","zav2.8","zav2.9","zav2.10","zav2.11","zav2.12","zav2.13","Country","Language","zav.code1","zav.code2","zav.code3","zav.code4","zav.code5","zav.code6","zav.code7","zav.code8","zav.code9","zav.code10","zav.code11","zav.code12","zav.code13","zav.include.strict","zav.include.primed","zav.condition"
"R_3nNli1Hj2mlvFVo","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","his sunburn was painful","go for a walk","had felt hot water","gave the new movie","he saw the train","the tree was burning","the sudden ball toss","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_3JM9qjlcHAoSjg9","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the new movie was","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_1IDT5pbmO0oA4Jq","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_r8RroHmTl76Evbr","","","","","","","","","","","","","","she boiled the eggs","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats ","the curtain was green","she found a glove","she roasted the potatoes ","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_SBqX1tOmvBeaU2R","","","","","","","","","","","","","","she boils the egg","the cat had fleas","his sunburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_2cvez0wnsPkO1cb","she freezes the leftovers","the cat had fleas","his frostbite was painful","go for a walk","the water felt cold","the movie was new","he saw the train","the lake was frozen","toss the ball once","the old man shivers","the curtain was green","she found a glove","she defrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Cold"
"R_24tOqQCKTNquO2P","","","","","","","","","","","","","","she boils the egs","the cat had fleas","his suburn was painful","go for a walk","the water felt hot","the movie was new","he saw the train","the tree was burning","toss the ball once","the old man sweats","the curtain was green","she found a glove","she roasted the potatoes","Australia","English",1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Hot"
"R_eY7qzV8fZ9Qyf97","","","","","","","","","","","","","","","","","","","","","","","","","","","Australia","English",0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,"Hot"
"R_vkNeGcBaS1joJbj","she freezes the leftovers","cat had the fleas","his frostbite was painful","go for a path","had felt cold water","the new movie was ","he saw the train","the lake was frozen","the sudden ball toss","the man of old","how was the curtain","she found a glove","she desfrosted the meat","","","","","","","","","","","","","","Australia","English",1,1,1,2,1,1,1,1,1,0,1,1,1,FALSE,FALSE,"Cold"
"R_3nbVxbKOixMoTkg","","","","","","","","","","","","","","she boils the eggs","the cat had fleas","although his sunburn was painful","go for a walk","the water had felt hot","the new move was","he saw over the train","the tree was burning","toss the ball once","the old man sweats of","how was the curtain green","she found a glove","she roasted the potatoes","Australia","English",1,1,2,1,2,2,2,1,1,2,2,1,1,FALSE,TRUE,"Hot"
