Country,Language,variable,value,Correct
China,Chinese (traditional),zav1.1,NA,0
China,Chinese (traditional),zav1.1,因冷藏她這碟剩菜,2
China,Chinese (traditional),zav1.1,因她冷藏這碟剩菜,2
China,Chinese (traditional),zav1.1,因她冷藏這碟剩菜　,2
China,Chinese (traditional),zav1.1,因她這碟冷藏剩菜,2
China,Chinese (traditional),zav1.1,她冷藏這碟剩棻,1
China,Chinese (traditional),zav1.1,她冷藏這碟剩菜,1
China,Chinese (traditional),zav1.1,她冷藏這碟剩菜　　　,1
China,Chinese (traditional),zav1.1,她這碟冷藏剩菜,2
China,Chinese (traditional),zav1.1,這碟冷藏剩菜,1
China,Chinese (traditional),zav1.1,這碟剩菜因　她冷藏,2
China,Chinese (traditional),zav1.1,這碟剩菜因她冷藏,2
China,Chinese (traditional),zav1.1,這碟她因剩菜冷藏,0
China,Chinese (traditional),zav1.1,,0
China,Chinese (traditional),zav1.10,NA,0
China,Chinese (traditional),zav1.10,因這個男人老發抖,2
China,Chinese (traditional),zav1.10,因這個發抖男人老,1
China,Chinese (traditional),zav1.10,因這個發抖老男人,1
China,Chinese (traditional),zav1.10,因這個老男人發抖,1
China,Chinese (traditional),zav1.10,男人因老發抖,1
China,Chinese (traditional),zav1.10,男人老因發抖,2
China,Chinese (traditional),zav1.10,這個因老發抖男人,2
China,Chinese (traditional),zav1.10,這個男人因老發抖,1
China,Chinese (traditional),zav1.10,這個男人發抖,0
China,Chinese (traditional),zav1.10,這個男人發抖因老,0
China,Chinese (traditional),zav1.10,這個發抖的老男人,2
China,Chinese (traditional),zav1.10,這個老男人發抖,1
China,Chinese (traditional),zav1.10,這個老男人發抖　,1
China,Chinese (traditional),zav1.10,,0
China,Chinese (traditional),zav1.11,NA,0
China,Chinese (traditional),zav1.11,窗簾是多麼的,0
China,Chinese (traditional),zav1.11,窗簾是多麼的綠色,1
China,Chinese (traditional),zav1.11,這是多麼的綠色,0
China,Chinese (traditional),zav1.11,這是多麼的綠色窗簾,2
China,Chinese (traditional),zav1.11,這是綠色窗簾,1
China,Chinese (traditional),zav1.11,這是綠色窗簾　　　,1
China,Chinese (traditional),zav1.11,這窗簾多麼的綠色,1
China,Chinese (traditional),zav1.11,這窗簾是多麼的綠色,1
China,Chinese (traditional),zav1.11,這窗簾是多麼的綠色　　　,1
China,Chinese (traditional),zav1.11,這窗簾是綠色,1
China,Chinese (traditional),zav1.11,這窗簾是綠色　,1
China,Chinese (traditional),zav1.11,這窗簾是綠色　　,1
China,Chinese (traditional),zav1.11,這綠色窗簾是多麼的......,2
China,Chinese (traditional),zav1.11,,0
China,Chinese (traditional),zav1.12, 她發覺手套不見了　,2
China,Chinese (traditional),zav1.12,NA,0
China,Chinese (traditional),zav1.12,她一隻手套不見了,2
China,Chinese (traditional),zav1.12,她不見了一隻手套,1
China,Chinese (traditional),zav1.12,她不見了一隻手套　,1
China,Chinese (traditional),zav1.12,她不見了一雙手套,1
China,Chinese (traditional),zav1.12,她發覺一隻 手套不見了,1
China,Chinese (traditional),zav1.12,她發覺一隻手套　不見了,1
