results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2019-01-15T12:38:09.176178Z,13,Ross,1,,aus,Secondary,Ross.1,91,57,34,Sign,You,57,,,,,,,,,,,,,,,,Refuse,You,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,25.3648090815274,73.9824561403509,48.6176470588235,5.72968414343256,4.90621987350065e-07,52.8152644358331,16.4848224488828,34.2447957141719,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 5.7297, df = 52.815, p-value = 4.906e-07
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 16.48482 34.24480
sample estimates:
  mean in group Sign mean in group Refuse 
            73.98246             48.61765 
",,,,,,,,,,,,,,,,,,,,,,,,,,5.72968414343256,3.46608896421162,7.95142689826129,91,57,34,1.24158,0.05543,0.75108,1.72301,89.28041,81.00089,0.62002,0,1.23109,0.05449,0.74473,1.70845,89.08549,80.79891,0,0.5191,0.00593,0.34487,0.64447,0,0.57511,0.01136,0.3596,0.76578,9.5065,3.90516,22.7645,0,2.25198,1.3623,3.1252,0,,,,,,,,aus,aus,"American University of Sharjah, United Arab Emirates",Angela Maitner,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,DO.BR.FL_6,DO.BR.FL_7,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,aus,1,1,1,1,1,1,91,12,60,91,91,0,0,"Execution
legal 
   91 ","SubjectPool
Yes 
 91 ","Setting
In a lab 
      91 ","Tablet
Computers 
       91 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       91 ","analysis.type
Secondary 
       91 ","subset
all 
 91 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.227925Z,13,Ross,1,,badaniaon,Secondary,Ross.1,38,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,25.3648090815274,73.9824561403509,48.6176470588235,5.72968414343256,4.90621987350065e-07,52.8152644358331,16.4848224488828,34.2447957141719,Welch Two Sample t-test,two.sided,t,FALSE,"",,,,,,,,,,,,,,,,,,,,,,,,,,5.72968414343256,3.46608896421162,7.95142689826129,91,57,34,1.24158,0.05543,0.75108,1.72301,89.28041,81.00089,0.62002,0,1.23109,0.05449,0.74473,1.70845,89.08549,80.79891,0,0.5191,0.00593,0.34487,0.64447,0,0.57511,0.01136,0.3596,0.76578,9.5065,3.90516,22.7645,0,2.25198,1.3623,3.1252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.288291Z,13,Ross,1,,bc,Secondary,Ross.1,76,52,24,Sign,You,52,,,,,,,,,,,,,,,,Refuse,You,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,32.0320512820513,78.6153846153846,46.5833333333333,5.96342883000825,1.05144192936683e-06,33.1893399400639,21.1061931183411,42.9579094457615,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 5.9634, df = 33.189, p-value = 1.051e-06
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 21.10619 42.95791
sample estimates:
  mean in group Sign mean in group Refuse 
            78.61538             46.58333 
",,,,,,,,,,,,,,,,,,,,,,,,,,5.96342883000825,3.50815400973315,8.35923582631382,76,52,24,1.47162,0.07515,0.86572,2.06284,92.94382,85.09676,0.70194,0,1.45665,0.07362,0.85692,2.04186,92.7394,84.84973,0,0.56972,0.00608,0.37762,0.6969,0,0.64712,0.0137,0.39728,0.86125,14.42875,4.80783,42.16466,0,2.66922,1.57024,3.74158,0,,,,,,,,bc,bc,"Boston College, Chestnut Hill, MA","Jordan Theriault, Liane Young",ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",legal,Slate1,bc,1,1,1,1,1,1,76,13,72,76,76,0,100,"Execution
legal 
   76 ","SubjectPool
Yes 
 76 ","Setting
In a lab 
      76 ","Tablet
Computers 
       76 ","Pencil
Yes, participants completed the Critcher task on pencil and paper 
                                                               76 ","analysis.type
Secondary 
       76 ","subset
all 
 76 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.346180Z,13,Ross,1,,bilgi,Secondary,Ross.1,152,68,84,Sign,You,68,,,,,,,,,,,,,,,,Refuse,You,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,22.4908963585434,68.264705882353,45.7738095238095,6.56994259167639,8.63513207968541e-10,143.575021840488,15.72431364127,29.2574790758168,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 6.5699, df = 143.58, p-value = 8.635e-10
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 15.72431 29.25748
sample estimates:
  mean in group Sign mean in group Refuse 
            68.26471             45.77381 
",,,,,,,,,,,,,,,,,,,,,,,,,,6.56994259167639,4.45805393462371,8.66180924236038,152,68,84,1.07174,0.03039,0.72723,1.41298,85.80815,77.57249,0.55145,0,1.06637,0.03009,0.72359,1.4059,85.68722,77.4587,0,0.47271,0.00399,0.34204,0.57742,0,0.51356,0.00671,0.35641,0.65858,6.98609,3.73988,12.97292,0,1.94392,1.31905,2.56286,0,,,,,,,,bilgi,bilgi,"Bilgi University, Istanbul, Turkey",Serdar Karabati,ML2_Slate1_Turkish_execution_illegal_Bilgi_r.csv,DO.BR.FL_5,DO.BR.FL_6,Turkey,Turkish,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,bilgi,1,1,1,1,1,1,152,13,133,152,152,0,0,"Execution
illegal 
    152 ","SubjectPool
 No 
152 ","Setting
Online (at home) 
             152 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            152 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      152 ","analysis.type
Secondary 
      152 ","subset
all 
152 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.401500Z,13,Ross,1,,brasilia,Secondary,Ross.1,104,47,57,Sign,You,47,,,,,,,,,,,,,,,,Refuse,You,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,22.3150429264651,60.5957446808511,38.280701754386,4.71386122296867,7.75558907066787e-06,101.53861193016,12.9248224854045,31.7052633675257,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 4.7139, df = 101.54, p-value = 7.756e-06
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 12.92482 31.70526
sample estimates:
  mean in group Sign mean in group Refuse 
            60.59574             38.28070 
",,,,,,,,,,,,,,,,,,,,,,,,,,4.71386122296867,2.63919979065649,6.76751386556378,104,47,57,0.92877,0.04297,0.52,1.3334,82.34953,74.43253,0.48865,2e-05,0.92192,0.04234,0.51617,1.32357,82.17153,74.27662,2e-05,0.42294,0.00655,0.25283,0.55666,2e-05,0.45127,0.0099,0.25843,0.62799,5.39029,2.56812,11.22917,2e-05,1.6846,0.94317,2.41851,2e-05,,,,,,,,brasilia,brasilia,"Social and Work Psychology Department, University of Brasilia, DF, Brazil","Ronaldo Pilati, Victor Keller",ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Brazil,Portuguese,0,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,brasilia,1,1,1,1,1,1,104,13,99,104,104,0,0,"Execution
illegal 
    104 ","SubjectPool
 No 
104 ","Setting
In a classroom 
           104 ","Tablet
Computers 
      104 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      104 ","analysis.type
Secondary 
      104 ","subset
all 
104 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.458714Z,13,Ross,1,,cas,Secondary,Ross.1,69,51,18,Sign,You,51,,,,,,,,,,,,,,,,Refuse,You,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,22.2418300653595,70.0196078431373,47.7777777777778,3.50008928653248,0.00168767423427527,26.1246026208799,9.18269864554911,35.3009614851698,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 3.5001, df = 26.125, p-value = 0.001688
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
  9.182699 35.300961
sample estimates:
  mean in group Sign mean in group Refuse 
            70.01961             47.77778 
",,,,,,,,,,,,,,,,,,,,,,,,,,3.50008928653248,1.29724821234817,5.64847146419087,69,51,18,0.95958,0.08184,0.35565,1.54858,83.13673,75.12813,0.50256,0.00131,0.9488,0.08001,0.35166,1.53118,82.8639,74.8859,0.00131,0.39317,0.01051,0.15653,0.56796,0.00123,0.41554,0.01515,0.15783,0.64451,5.70014,1.90615,16.59027,0.00131,1.74049,0.64508,2.80882,0.00131,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,cas,1,1,1,1,1,1,69,13,68,69,69,0,0,"Execution
legal 
   69 ","SubjectPool
No 
69 ","Setting
In a lab 
      69 ","Tablet
Computers 
       69 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       69 ","analysis.type
Secondary 
       69 ","subset
all 
 69 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.531889Z,13,Ross,1,,castab,Secondary,Ross.1,66,40,26,Sign,You,40,,,,,,,,,,,,,,,,Refuse,You,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,35.8557692307692,70.125,34.2692307692308,8.71184483352568,5.77175327573348e-12,55.403157593597,27.6089721908153,44.1025662707232,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 8.7118, df = 55.403, p-value = 5.772e-12
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 27.60897 44.10257
sample estimates:
  mean in group Sign mean in group Refuse 
            70.12500             34.26923 
",,,,,,,,,,,,,,,,,,,,,,,,,,8.71184483352568,6.14619951300422,11.229540422382,66,40,26,2.19465,0.09995,1.54832,2.8289,98.59057,93.96512,0.8793,0,2.16883,0.09761,1.53011,2.79562,98.49523,93.74354,0,0.73656,0.00322,0.60923,0.81446,0,0.94291,0.01587,0.7077,1.14013,53.55217,16.58253,169.19524,0,3.98066,2.80835,5.13105,0,,,,,,,,castab,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,castab,1,1,1,1,1,1,66,13,60,66,66,0,0,"Execution
legal 
   66 ","SubjectPool
No 
66 ","Setting
In a lab 
      66 ","Tablet
Tablets 
     66 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       66 ","analysis.type
Secondary 
       66 ","subset
all 
 66 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.594977Z,13,Ross,1,,doshisha,Secondary,Ross.1,114,38,76,Sign,You,38,,,,,,,,,,,,,,,,Refuse,You,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,23.8552631578947,60.3421052631579,36.4868421052632,5.46193930305493,7.55882178540928e-07,66.5107297339496,15.1364288059204,32.5740975098691,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 5.4619, df = 66.511, p-value = 7.559e-07
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 15.13643 32.57410
sample estimates:
  mean in group Sign mean in group Refuse 
            60.34211             36.48684 
",,,,,,,,,,,,,,,,,,,,,,,,,,5.46193930305493,3.27715025329711,7.61290447794672,114,38,76,1.08518,0.04464,0.6511,1.51253,86.10784,77.85592,0.55712,0,1.07789,0.04404,0.64673,1.50238,85.94595,77.70256,0,0.45863,0.00552,0.2958,0.58396,0,0.49557,0.00901,0.30491,0.66845,7.15845,3.25754,15.54015,0,1.96829,1.18097,2.74343,0,,,,,,,,doshisha,doshisha,"Doshisha University, Kyoto, Japan","Masanori Oikawa, Haruka Oikawa",ML2_Slate1_Japanese_Inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Japan,Japanese,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,doshisha,1,1,1,1,1,1,114,13,107,114,114,0,0,"Execution
legal 
  114 ","SubjectPool
Yes 
114 ","Setting
In a lab 
     114 ","Tablet
Computers 
      114 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      114 ","analysis.type
Secondary 
      114 ","subset
all 
114 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.643490Z,13,Ross,1,,eindhoven,Secondary,Ross.1,98,40,58,Sign,You,40,,,,,,,,,,,,,,,,Refuse,You,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,19.6465517241379,61.75,42.1034482758621,4.01318332899118,0.000121650584773673,92.3679983157401,9.92417595025725,29.3689274980186,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 4.0132, df = 92.368, p-value = 0.0001217
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
  9.924176 29.368927
sample estimates:
  mean in group Sign mean in group Refuse 
            61.75000             42.10345 
",,,,,,,,,,,,,,,,,,,,,,,,,,4.01318332899118,1.95977154841177,6.04655596302418,98,40,58,0.82482,0.04571,0.40279,1.24273,79.52625,72.01322,0.44026,0.00021,0.81836,0.045,0.39963,1.233,79.34234,71.85927,0.00021,0.37903,0.00756,0.19613,0.52517,0.00019,0.39893,0.01053,0.19871,0.58345,4.46404,2.07627,9.52638,0.00021,1.49605,0.73057,2.25406,0.00021,,,,,,,,eindhoven,eindhoven,"Eindhoven University of Technology, Eindhoven, Netherlands","Daniël Lakens, Karin Smolders",ML2_Slate1_Dutch_execution_illegal_DEPLOY__netherlands_r.csv,DO.BR.FL_5,DO.BR.FL_6,The Netherlands,Dutch,1,No,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eindhoven,1,1,2,1,1,1,98,13,89,98,98,0,100,"Execution
illegal 
     98 ","SubjectPool
No 
98 ","Setting
         In a classroom Other (please indicate) 
                     43                      55 ","Tablet
Computers   Tablets 
       55        43 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       98 ","analysis.type
Secondary 
       98 ","subset
all 
 98 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:09.698480Z,13,Ross,1,,elte,Secondary,Ross.1,93,36,57,Sign,You,36,,,,,,,,,,,,,,,,Refuse,You,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,22.433918128655,62.7777777777778,40.3438596491228,5.40764434401872,6.30771793706381e-07,80.9670501795858,14.1795410630927,30.6882951942173,Welch Two Sample t-test,two.sided,t,FALSE,"
	Welch Two Sample t-test

data:  Peers by You
t = 5.4076, df = 80.967, p-value = 6.308e-07
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 14.17954 30.68830
sample estimates:
  mean in group Sign mean in group Refuse 
            62.77778             40.34386 
",,,,,,,,,,,,,,,,,,,,,,,,,,5.40764434401872,3.26431884652593,7.52248437077161,93,36,57,1.15123,0.05245,0.69494,1.60145,87.51805,79.21891,0.58438,0,1.14171,0.05158,0.68919,1.58822,87.32132,79.02568,0,0.49315,0.00623,0.32376,0.61921,0,0.54021,0.01111,0.33584,0.72372,8.06952,3.5271,18.26002,0,2.08809,1.26048,2.90471,0,,,,,,,,elte,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,elte,1,1,1,1,1,1,93,13,85,93,93,0,100,"Execution
illegal 
     93 ","SubjectPool
Yes 
 93 ","Setting
In a lab 
      93 ","Tablet
Computers 
       93 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       93 ","analysis.type
Secondary 
       93 ","subset
all 
 93 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
