results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2019-01-15T12:38:25.254594Z,9,Critcher,1,,aus,Secondary,Critcher.1,85,50,35,P97,as.numeric.ignore.,50,,,,,54.72,19.9642946588275,60,56.3,10,9,90,81,-0.64098162190097,2.72819783208197,2.82337762697266,P17,as.numeric.ignore.,35,,,,,55.8571428571429,19.4212480018556,60,57.2413793103448,10,10,85,75,-0.724087186149571,2.56423099572883,3.28279007618119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,54.72,55.8571428571429,-0.261334766890875,0.794481742106953,83,-9.79167984844578,7.51739413416007, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = -0.26133, df = 83, p-value = 0.7945
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -9.791680  7.517394
sample estimates:
mean of x mean of y 
 54.72000  55.85714 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.261334766890875,-2.22091503171812,1.69981677996294,85,50,35,-0.0576,0.04859,-0.48947,0.37462,47.70355,48.37571,-0.03249,0.79452,-0.05707,0.04771,-0.48503,0.37123,47.72434,48.39043,0.79452,-0.02867,0.01189,-0.23684,0.18341,0.79572,-0.02868,0.0122,-0.24142,0.18551,0.90081,0.41156,1.97287,0.79452,-0.10447,-0.88779,0.67949,0.79452,,,,,,,,aus,aus,"American University of Sharjah, United Arab Emirates",Angela Maitner,ML2_Slate1_UAEEng_Inlab_execution_legal_r.csv,DO.BR.FL_6,DO.BR.FL_7,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,aus,1,1,1,1,1,1,85,12,58,85,85,0,0,"Execution
legal 
   85 ","SubjectPool
Yes 
 85 ","Setting
In a lab 
      85 ","Tablet
Computers 
       85 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       85 ","analysis.type
Secondary 
       85 ","subset
all 
 85 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.343201Z,9,Critcher,1,,badaniaon,Secondary,Critcher.1,34,18,16,P97,as.numeric.ignore.,18,,,,,52.5,28.8632679247191,62.5,52.8125,15,0,100,100,-0.170858351113034,2.18150735886963,6.80313749225768,P17,as.numeric.ignore.,16,,,,,41.5,21.8174242292714,40,40.2857142857143,10,10,90,80,0.578400061641591,2.78921450933315,5.45435605731786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,52.5,41.5,1.24082110770984,0.223692037001639,32,-7.05761252676936,29.0576125267694, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = 1.2408, df = 32, p-value = 0.2237
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -7.057613 29.057613
sample estimates:
mean of x mean of y 
     52.5      41.5 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.24082110770984,-0.751830461479357,3.21459819068553,34,18,16,0.42634,0.12073,-0.25832,1.10451,66.50686,61.84702,0.23694,0.22877,0.41627,0.11509,-0.25222,1.07842,66.13921,61.57525,0.22877,0.21425,0.02758,-0.13175,0.49406,0.2345,0.21763,0.03226,-0.13252,0.54142,2.16688,0.62591,7.41393,0.22877,0.77329,-0.46855,2.00336,0.22877,,,,,,,,badaniaon,badaniaon,badania.net,"Konrad Bocian, Natalia Frankowska, Olga Bialobrzeska, Marta Wrońska, Małgorzata Osowiecka",ML2_Slate1_Polish_Inlab_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Poland,Polish,1,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate1,badaniaon,1,1,1,1,1,1,34,12,33,34,34,0,100,"Execution
   
34 ","SubjectPool
No 
34 ","Setting
Online (at home) 
              34 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             34 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       34 ","analysis.type
Secondary 
       34 ","subset
all 
 34 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.410688Z,9,Critcher,1,,bc,Secondary,Critcher.1,78,39,39,P97,as.numeric.ignore.,39,,,,,52.0512820512821,18.6504532440321,60,52.7272727272727,10,15,80,65,-0.450472974111415,2.18926217472832,2.98646264559496,P17,as.numeric.ignore.,39,,,,,52.0512820512821,18.6504532440321,60,52.7272727272727,10,15,80,65,-0.450472974111415,2.18926217472832,2.98646264559496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,52.0512820512821,52.0512820512821,0,1,76,-8.41182125417804,8.41182125417804, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = 0, df = 76, p-value = 1
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -8.411821  8.411821
sample estimates:
mean of x mean of y 
 52.05128  52.05128 
",,,,,,,,,,,,,,,,,,,,,,,,,,0,-1.9599639845625,1.9599639845625,78,39,39,0,0.05128,-0.44384,0.44384,50,50,0,1,0,0.05027,-0.43945,0.43945,50,50,1,0,0.01299,-0.21935,0.21935,1,0,0.01333,-0.22297,0.22297,1,0.44707,2.2368,1,0,-0.80504,0.80504,1,,,,,,,,bc,bc,"Boston College, Chestnut Hill, MA","Jordan Theriault, Liane Young",ML2_Slate1_USEng_Inlab_execution_legal_DEPLOY__pencilpaper_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"Yes, participants completed the Critcher task on pencil and paper",legal,Slate1,bc,1,1,1,1,1,1,39,12,37,39,39,0,100,"Execution
legal 
   39 ","SubjectPool
Yes 
 39 ","Setting
In a lab 
      39 ","Tablet
Computers 
       39 ","Pencil
Yes, participants completed the Critcher task on pencil and paper 
                                                               39 ","analysis.type
Secondary 
       39 ","subset
all 
 39 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.484183Z,9,Critcher,1,,bilgi,Secondary,Critcher.1,147,71,76,P97,as.numeric.ignore.,71,,,,,39.4225352112676,18.9191225799499,35,38.5614035087719,15,10,80,70,0.400502453630305,2.11367553522298,2.24528676670057,P17,as.numeric.ignore.,76,,,,,40.7368421052632,22.4578826078522,40,39.6935483870968,15,0,95,95,0.454518457874157,2.57905532171439,2.57609580982967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,39.4225352112676,40.7368421052632,-0.38237959346939,0.702739708396013,145,-8.1077510872454,5.4791372992543, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = -0.38238, df = 145, p-value = 0.7027
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -8.107751  5.479137
sample estimates:
mean of x mean of y 
 39.42254  40.73684 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.38237959346939,-2.3421783686124,1.5787359551321,147,71,76,-0.06311,0.02726,-0.38658,0.26057,47.48383,48.22021,-0.0356,0.70281,-0.06279,0.02697,-0.38458,0.25922,47.49685,48.22943,0.70281,-0.03174,0.00684,-0.19093,0.12999,0.70376,-0.03175,0.00694,-0.1933,0.13073,0.89184,0.496,1.60421,0.70281,-0.11447,-0.70118,0.47263,0.70281,,,,,,,,bilgi,bilgi,"Bilgi University, Istanbul, Turkey",Serdar Karabati,ML2_Slate1_Turkish_execution_illegal_Bilgi_r.csv,DO.BR.FL_5,DO.BR.FL_6,Turkey,Turkish,0,No,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,bilgi,1,1,1,1,1,1,147,13,128,147,147,0,0,"Execution
illegal 
    147 ","SubjectPool
 No 
147 ","Setting
Online (at home) 
             147 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            147 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      147 ","analysis.type
Secondary 
      147 ","subset
all 
147 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.560404Z,9,Critcher,1,,brasilia,Secondary,Critcher.1,95,47,48,P97,as.numeric.ignore.,47,,,,,52.8085106382979,22.5982283817659,60,53.4615384615385,10,0,100,100,-0.462847219996345,2.40841613951785,3.29629039077376,P17,as.numeric.ignore.,48,,,,,51.2291666666667,24.2243411814183,57,51.3,23,7,95,88,-0.0744508614459969,1.86024961787803,3.4964824755083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,52.8085106382979,51.2291666666667,0.328424503556838,0.743329053653894,93,-7.97007786010075,11.1287658033632, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = 0.32842, df = 93, p-value = 0.7433
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -7.970078 11.128766
sample estimates:
mean of x mean of y 
 52.80851  51.22917 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.328424503556838,-1.63298734460767,2.28807400470749,95,47,48,0.0674,0.04213,-0.3351,0.46953,52.68664,51.90046,0.03801,0.7434,0.06685,0.04146,-0.33239,0.46573,52.66495,51.8851,0.7434,0.03404,0.01061,-0.16696,0.23085,0.74471,0.03405,0.01087,-0.16853,0.23509,1.13003,0.54454,2.34347,0.7434,0.12224,-0.60781,0.85163,0.7434,,,,,,,,brasilia,brasilia,"Social and Work Psychology Department, University of Brasilia, DF, Brazil","Ronaldo Pilati, Victor Keller",ML2_Slate1_Brazil__Portuguese_execution_illegal_r.csv,DO.BR.FL_5,DO.BR.FL_6,Brazil,Portuguese,0,No,In a classroom,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,brasilia,1,1,1,1,1,1,95,13,90,95,95,0,0,"Execution
illegal 
     95 ","SubjectPool
No 
95 ","Setting
In a classroom 
            95 ","Tablet
Computers 
       95 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       95 ","analysis.type
Secondary 
       95 ","subset
all 
 95 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.632887Z,9,Critcher,1,,cas,Secondary,Critcher.1,49,25,24,P97,as.numeric.ignore.,25,,,,,55.02,25.5140810795399,60,55.952380952381,20,0.5,100,99.5,-0.387549688727445,2.19621425638731,5.10281621590797,P17,as.numeric.ignore.,24,,,,,45.8833333333333,27.8776155593581,45,45.25,25,1.2,95,93.8,0.0890973222396893,1.79790555042152,5.69049444715836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,55.02,45.8833333333333,1.19758172023822,0.237084887355259,47,-6.21143207528924,24.4847654086226, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = 1.1976, df = 47, p-value = 0.2371
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -6.211432 24.484765
sample estimates:
mean of x mean of y 
 55.02000  45.88333 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.19758172023822,-0.783459523677646,3.16609980926844,49,25,24,0.34224,0.08286,-0.22389,0.90479,63.39139,59.56093,0.19122,0.24045,0.33675,0.08022,-0.2203,0.89027,63.18462,59.41045,0.24045,0.17208,0.01962,-0.11354,0.41927,0.2444,0.17381,0.02174,-0.11403,0.44681,1.86032,0.66625,5.16087,0.24045,0.62075,-0.4061,1.6411,0.24045,,,,,,,,cas,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,cas,1,1,1,1,1,1,49,13,48,49,49,0,0,"Execution
legal 
   49 ","SubjectPool
No 
49 ","Setting
In a lab 
      49 ","Tablet
Computers 
       49 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       49 ","analysis.type
Secondary 
       49 ","subset
all 
 49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.722720Z,9,Critcher,1,,castab,Secondary,Critcher.1,48,27,21,P97,as.numeric.ignore.,27,,,,,41.762962962963,26.177914181294,35,42,25,0.8,80,79.2,0.0651502452786401,1.62375126344295,5.037941933131,P17,as.numeric.ignore.,21,,,,,48.4285714285714,29.0595447806249,50,48.8823529411765,20,2,100,98,-0.0324561029279408,1.76774088678499,6.34131255324631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,41.762962962963,48.4285714285714,-0.83403481640684,0.408571674534415,46,-22.7526754328446,9.42145850162771, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = -0.83403, df = 46, p-value = 0.4086
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -22.752675   9.421459
sample estimates:
mean of x mean of y 
 41.76296  48.42857 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.83403481640684,-2.7968662080302,1.13777209436197,48,27,21,-0.24267,0.08527,-0.81377,0.33104,40.41311,43.1879,-0.13624,0.41025,-0.23869,0.0825,-0.80043,0.32562,40.56729,43.2985,0.41025,-0.12205,0.02065,-0.38123,0.16544,0.41484,-0.12266,0.02222,-0.4015,0.16698,0.64394,0.22855,1.82293,0.41025,-0.44015,-1.47601,0.60045,0.41025,,,,,,,,castab,cas,"Chinese Academy of Science, Beijing, China",Huajian Cai,ML2_Slate1_Chinese_Mainland_execution_legal_DEPLOY_r__Revised_by_Huajian.csv,DO.BR.FL_5,DO.BR.FL_6,China,Chinese (simplified),0,No,In a lab,Tablets,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,castab,1,1,1,1,1,1,48,13,44,48,48,0,0,"Execution
legal 
   48 ","SubjectPool
No 
48 ","Setting
In a lab 
      48 ","Tablet
Tablets 
     48 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       48 ","analysis.type
Secondary 
       48 ","subset
all 
 48 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.797113Z,9,Critcher,1,,doshisha,Secondary,Critcher.1,112,49,63,P97,as.numeric.ignore.,49,,,,,46.1836734693878,18.6778316342616,50,46.9024390243903,10,10,80,70,-0.273881167634443,2.11414935478062,2.66826166203737,P17,as.numeric.ignore.,63,,,,,43.4126984126984,20.7858783642963,40,43.3137254901961,20,1,85,84,0.0879324352991728,2.08222093349736,2.61877452066505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,46.1836734693878,43.4126984126984,0.731275250972521,0.466165970351332,110,-4.73840278386891,10.2803528972476, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = 0.73128, df = 110, p-value = 0.4662
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -4.738403 10.280353
sample estimates:
mean of x mean of y 
 46.18367  43.41270 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.731275250972521,-1.23272019686487,2.69195819139158,112,49,63,0.13929,0.03637,-0.2348,0.51275,55.53897,53.92297,0.07846,0.4667,0.13834,0.03587,-0.2332,0.50925,55.50136,53.89625,0.4667,0.06956,0.00892,-0.11673,0.24861,0.46855,0.06967,0.00917,-0.11727,0.25393,1.28743,0.65319,2.53459,0.4667,0.25265,-0.42589,0.93003,0.4667,,,,,,,,doshisha,doshisha,"Doshisha University, Kyoto, Japan","Masanori Oikawa, Haruka Oikawa",ML2_Slate1_Japanese_Inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Japan,Japanese,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",legal,Slate1,doshisha,1,1,1,1,1,1,112,13,105,112,112,0,0,"Execution
legal 
  112 ","SubjectPool
Yes 
112 ","Setting
In a lab 
     112 ","Tablet
Computers 
      112 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      112 ","analysis.type
Secondary 
      112 ","subset
all 
112 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.869452Z,9,Critcher,1,,eindhoven,Secondary,Critcher.1,97,46,51,P97,as.numeric.ignore.,46,,,,,43.4347826086957,19.39834147998,40,42.8157894736842,15,5,80,75,0.284378936141409,1.96946527687234,2.86012941396894,P17,as.numeric.ignore.,51,,,,,44.7647058823529,18.4819785037145,40,44.5121951219512,20,9,90,81,0.14584864736081,2.70495527518372,2.58799464121852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,43.4347826086957,44.7647058823529,-0.345658603255743,0.730363556276596,95,-8.96818683413353,6.30834028681894, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = -0.34566, df = 95, p-value = 0.7304
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -8.968187  6.308340
sample estimates:
mean of x mean of y 
 43.43478  44.76471 
",,,,,,,,,,,,,,,,,,,,,,,,,,-0.345658603255743,-2.30532924993817,1.61582778909495,97,46,51,-0.07029,0.04137,-0.46876,0.32856,47.1983,48.01808,-0.03964,0.73044,-0.06973,0.04072,-0.46505,0.32596,47.22044,48.03376,0.73044,-0.03544,0.01039,-0.23017,0.16355,0.73178,-0.03546,0.01064,-0.23437,0.16503,0.88031,0.42731,1.81475,0.73044,-0.12748,-0.85024,0.59595,0.73044,,,,,,,,eindhoven,eindhoven,"Eindhoven University of Technology, Eindhoven, Netherlands","Daniël Lakens, Karin Smolders",ML2_Slate1_Dutch_execution_illegal_DEPLOY__netherlands_r.csv,DO.BR.FL_5,DO.BR.FL_6,The Netherlands,Dutch,1,No,Other (please indicate),Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,eindhoven,1,1,2,1,1,1,97,13,88,97,97,0,100,"Execution
illegal 
     97 ","SubjectPool
No 
97 ","Setting
         In a classroom Other (please indicate) 
                     42                      55 ","Tablet
Computers   Tablets 
       55        42 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       97 ","analysis.type
Secondary 
       97 ","subset
all 
 97 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15T12:38:25.950551Z,9,Critcher,1,,elte,Secondary,Critcher.1,86,41,45,P97,as.numeric.ignore.,41,,,,,48.2439024390244,19.8881629214526,45,47.9393939393939,15,7,88,81,0.120426519358141,2.21269298654617,3.10600922049675,P17,as.numeric.ignore.,45,,,,,47.6666666666667,23.632604596193,45,48.4594594594595,15,0,85,85,-0.0830694247432263,1.96489539281712,3.52294069083076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,48.2439024390244,47.6666666666667,0.121920018008734,0.903253563037333,84,-8.83792554227177,9.99239708698722, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  P97 and P17
t = 0.12192, df = 84, p-value = 0.9033
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -8.837926  9.992397
sample estimates:
mean of x mean of y 
 48.24390  47.66667 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.121920018008734,-1.83849269189762,2.08160815959,86,41,45,0.02632,0.04662,-0.39693,0.44942,51.04999,50.7425,0.01485,0.90326,0.02609,0.04579,-0.39337,0.44539,51.04059,50.73585,0.90326,0.0133,0.01176,-0.19668,0.22148,0.90383,0.0133,0.01205,-0.19927,0.22521,1.0489,0.48678,2.25952,0.90326,0.04774,-0.71995,0.81515,0.90326,,,,,,,,elte,elte,"Eotvos Lorand University, in Budapest, Hungary","Adrienn Ujhelyi, Anna Kende, Mihály Berkics, Gábor Orosz",ML2_Slate1_Hungarian_Inlab_execution_illegal_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,Hungary,Hungarian,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",illegal,Slate1,elte,1,1,1,1,1,1,86,13,78,86,86,0,100,"Execution
illegal 
     86 ","SubjectPool
Yes 
 86 ","Setting
In a lab 
      86 ","Tablet
Computers 
       86 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       86 ","analysis.type
Secondary 
       86 ","subset
all 
 86 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
