results.generated,study.id,study.name,study.slate,study.mean,study.source,analysis.type,analysis.name,stat.N,stat.n1,stat.n2,stat.cond1.name,stat.cond1.column,stat.cond1.n,stat.cond1.count,stat.cond1.prop.cond,stat.cond1.prop.tot,stat.cond1.value,stat.cond1.mean,stat.cond1.sd,stat.cond1.median,stat.cond1.trimmed,stat.cond1.mad,stat.cond1.min,stat.cond1.max,stat.cond1.range,stat.cond1.skew,stat.cond1.kurtosis,stat.cond1.se,stat.cond2.name,stat.cond2.column,stat.cond2.n,stat.cond2.count,stat.cond2.prop.cond,stat.cond2.prop.tot,stat.cond2.value,stat.cond2.mean,stat.cond2.sd,stat.cond2.median,stat.cond2.trimmed,stat.cond2.mad,stat.cond2.min,stat.cond2.max,stat.cond2.range,stat.cond2.skew,stat.cond2.kurtosis,stat.cond2.se,stat.cond3.name,stat.cond3.column,stat.cond3.n,stat.cond3.count,stat.cond3.n.1,stat.cond3.prop.cond,stat.cond3.prop.tot,stat.cond3.value,stat.cond3.mean,stat.cond3.sd,stat.cond3.median,stat.cond3.trimmed,stat.cond3.mad,stat.cond3.min,stat.cond3.max,stat.cond3.range,stat.cond3.skew,stat.cond3.kurtosis,stat.cond3.se,stat.cond4.name,stat.cond4.column,stat.cond4.n,stat.cond4.count,stat.cond4.n.1,stat.cond4.prop.cond,stat.cond4.prop.tot,stat.cond4.value,stat.cond4.mean,stat.cond4.sd,stat.cond4.median,stat.cond4.trimmed,stat.cond4.mad,stat.cond4.min,stat.cond4.max,stat.cond4.range,stat.cond4.skew,stat.cond4.kurtosis,stat.cond4.se,test.type,test.estimate,test.estimate1,test.estimate2,test.statistic,test.p.value,test.parameter,test.conf.low,test.conf.high,test.method,test.alternative,test.estype,test.varequal,test.ConsoleOutput,test.ncp,test.ncp.lo,test.ncp.hi,test.table,test.parameter1,test.parameter2,test.cohensQ,test.cohensQ.l,test.cohensQ.u,test.bootR1,test.bootR2,test.bootCI.l,test.bootCI.u,test.fZ.r,test.fZ.l.r,test.fZ.u.r,ESCI.estimate,ESCI.statistic,ESCI.p.value,ESCI.parameter,ESCI.conf.low,ESCI.conf.high,ESCI.method,ESCI.alternative,ESCI.estype,ESCI.ncp,ESCI.ncp.lo,ESCI.ncp.hi,ESCI.N.total,ESCI.n.1,ESCI.n.2,ESCI.d,ESCI.var.d,ESCI.l.d,ESCI.u.d,ESCI.U3.d,ESCI.cl.d,ESCI.cliffs.d,ESCI.pval.d,ESCI.g,ESCI.var.g,ESCI.l.g,ESCI.u.g,ESCI.U3.g,ESCI.cl.g,ESCI.pval.g,ESCI.r,ESCI.var.r,ESCI.l.r,ESCI.u.r,ESCI.pval.r,ESCI.fisher.z,ESCI.var.z,ESCI.l.z,ESCI.u.z,ESCI.OR,ESCI.l.or,ESCI.u.or,ESCI.pval.or,ESCI.lOR,ESCI.l.lor,ESCI.u.lor,ESCI.pval.lor,ESCI.cohensQ,ESCI.cohensQ.l,ESCI.cohensQ.u,ESCI.bootR1,ESCI.bootR2,ESCI.bootCI.l,ESCI.bootCI.u,source.Source,source.Source.Global,source.Location,source.ReplicationPI,source.Filename,source.StudyOrder,source.IDiffOrder,source.Country,source.Language,source.Weird,source.SubjectPool,source.Setting,source.Tablet,source.Pencil,source.Execution,source.Slate,source.source,source.N.sources.global,source.N.sources.primary,source.N.sources.secondary,source.N.countries,source.N.locations,source.N.languages,source.N.studyorders1,source.N.studyorders2,source.N.IDiffOrderN,source.N.uIDs,source.N.cases.included,source.N.cases.excluded,source.Pct.WEIRD,source.Tbl.Execution,source.Tbl.subjectpool,source.Tbl.setting,source.Tbl.Tablet,source.Tbl.Pencil,source.Tbl.analysistype,source.Tbl.subset,stat.cond5.name,stat.cond5.column,stat.cond5.n,stat.cond5.mean,stat.cond5.sd,stat.cond5.median,stat.cond5.trimmed,stat.cond5.mad,stat.cond5.min,stat.cond5.max,stat.cond5.range,stat.cond5.skew,stat.cond5.kurtosis,stat.cond5.se,stat.cond6.name,stat.cond6.column,stat.cond6.n,stat.cond6.mean,stat.cond6.sd,stat.cond6.median,stat.cond6.trimmed,stat.cond6.mad,stat.cond6.min,stat.cond6.max,stat.cond6.range,stat.cond6.skew,stat.cond6.kurtosis,stat.cond6.se
2019-04-29T17:35:22.680577Z,18,Risen,2,,armstrong,Primary,Risen.1,85,47,38,Unprepared,as.numeric.ignore.,47,,,,,4.63829787234043,2.80857020652776,4,4.51282051282051,2,1,10,9,0.453242677423517,2.06065223403597,0.409672069296412,Prepared,as.numeric.ignore.,38,,,,,3.86842105263158,2.36152782235591,3,3.6875,2,1,10,9,0.683273886671813,2.61187116449314,0.38309039938241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.63829787234043,3.86842105263158,1.34760220987566,0.181453415534514,83,-0.366403618886861,1.90615725830455, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 1.3476, df = 83, p-value = 0.1815
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.3664036  1.9061573
sample estimates:
mean of x mean of y 
 4.638298  3.868421 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.34760220987566,-0.627032366290039,3.31421456827378,85,47,38,0.29399,0.0481,-0.13679,0.72302,61.56167,58.23392,0.16468,0.18375,0.29132,0.04723,-0.13555,0.71647,61.45982,58.16034,0.18375,0.14633,0.0114,-0.06866,0.34186,0.18565,0.14738,0.0122,-0.06877,0.3562,1.70444,0.78027,3.7114,0.18375,0.53324,-0.24811,1.31141,0.18375,,,,,,,,armstrong,armstrong,"Armstrong Atlantic State University, Savannah, GA",Ho Phi Huynh,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,armstrong,1,1,1,1,1,1,85,15,61,85,85,0,100,< table of extent 0 >,"SubjectPool
Yes 
 85 ","Setting
In a lab 
      85 ","Tablet
Computers 
       85 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       85 ","analysis.type
Primary 
     85 ","subset
all 
 85 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:22.745486Z,18,Risen,2,,aus2,Primary,Risen.1,179,81,98,Unprepared,as.numeric.ignore.,81,,,,,5.53086419753086,2.32425482549293,5,5.50769230769231,2,1,10,9,0.0146320737954549,2.41420887131635,0.258250536165881,Prepared,as.numeric.ignore.,98,,,,,4.5,2.39522721303468,4,4.325,1,1,10,9,0.646997455503516,2.92144298089474,0.241954486402768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,5.53086419753086,4.5,2.90463000823275,0.00414583756345497,177,0.33047675792018,1.73125163714155, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 2.9046, df = 177, p-value = 0.004146
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 0.3304768 1.7312516
sample estimates:
mean of x mean of y 
 5.530864  4.500000 
",,,,,,,,,,,,,,,,,,,,,,,,,,2.90463000823275,0.917471273776053,4.88377055891575,179,81,98,0.43618,0.02308,0.13777,0.73338,66.86455,62.11198,0.24224,0.00459,0.43433,0.02289,0.13719,0.73026,66.79738,62.06218,0.00459,0.2133,0.00512,0.0688,0.3446,0.00455,0.21663,0.00568,0.06891,0.35931,2.2059,1.28389,3.78178,0.00459,0.79114,0.24989,1.3302,0.00459,,,,,,,,aus2,aus2,"American University of Sharjah, United Arab Emirates",Mark Aveyard,ML2_Slate2_EngUAE_r.csv,DO.BR.FL_5,DO.BR.FL_6,United Arab Emirates,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,aus2,1,1,1,1,1,1,179,15,102,179,179,0,0,< table of extent 0 >,"SubjectPool
Yes 
179 ","Setting
In a lab 
     179 ","Tablet
Computers 
      179 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      179 ","analysis.type
Primary 
    179 ","subset
all 
179 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:22.814164Z,18,Risen,2,,bogota,Primary,Risen.1,102,45,57,Unprepared,as.numeric.ignore.,45,,,,,4.75555555555556,2.63848747611509,5,4.5945945945946,2,1,10,9,0.455831081544619,2.14826852248892,0.393322490291679,Prepared,as.numeric.ignore.,57,,,,,4.70175438596491,2.41989456884195,4,4.5531914893617,2,1,10,9,0.51352866802302,2.44425379136416,0.320522865711713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.75555555555556,4.70175438596491,0.107129278795903,0.914901053347083,100,-0.942564990350061,1.05016732953135, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 0.10713, df = 100, p-value = 0.9149
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.942565  1.050167
sample estimates:
mean of x mean of y 
 4.755556  4.701754 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.107129278795903,-1.85315827365805,2.06688189179696,102,45,57,0.02136,0.03977,-0.36955,0.41217,50.8522,50.60262,0.01205,0.9149,0.0212,0.03917,-0.36677,0.40907,50.84579,50.59809,0.9149,0.01071,0.0099,-0.18221,0.20241,0.91533,0.01071,0.0101,-0.18427,0.20524,1.03951,0.51156,2.1119,0.9149,0.03875,-0.67028,0.74759,0.9149,,,,,,,,bogota,bogota,"Universidad de los Andes, Bogotá, Colombia",Carolyn Finck and William Jiménez,ML2_Slate2_SpanishColombia_r_manually_recode_rosss21.csv,DO.BR.FL_5,DO.BR.FL_6,Colombia,Spanish,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,bogota,1,1,1,1,1,1,102,15,65,102,102,0,0,< table of extent 0 >,"SubjectPool
Yes 
102 ","Setting
In a lab 
     102 ","Tablet
Computers 
      102 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      102 ","analysis.type
Primary 
    102 ","subset
all 
102 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:22.882242Z,18,Risen,2,,brookcuny,Primary,Risen.1,182,84,98,Unprepared,as.numeric.ignore.,84,,,,,4.88095238095238,2.29931766675352,5,4.85294117647059,2,1,10,9,0.152411506552887,2.45318767997518,0.250876125110649,Prepared,as.numeric.ignore.,98,,,,,3.87755102040816,2.21180201814565,3,3.725,2,1,10,9,0.534857092007112,2.54285402410331,0.223425743667554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.88095238095238,3.87755102040816,2.99579197861181,0.00312330018759045,180,0.342493491548841,1.6643092295396, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 2.9958, df = 180, p-value = 0.003123
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 0.3424935 1.6643092
sample estimates:
mean of x mean of y 
 4.880952  3.877551 
",,,,,,,,,,,,,,,,,,,,,,,,,,2.99579197861181,1.00751921807184,4.97594087557314,182,84,98,0.44545,0.02265,0.14981,0.73987,67.20011,62.36107,0.24722,0.0035,0.44359,0.02247,0.14918,0.73679,67.13294,62.31116,0.0035,0.21793,0.00501,0.07489,0.34774,0.00346,0.22148,0.00559,0.07503,0.36287,2.2433,1.31222,3.82663,0.0035,0.80795,0.27172,1.34198,0.0035,,,,,,,,brookcuny,brookcuny,"Brooklyn College, New York, NY",Cheryl Carmichael,ML2_Slate2_USEng_Inlab_DEPLOY__brooklyn_cuny_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,brookcuny,1,1,1,1,1,1,182,15,91,182,182,0,100,< table of extent 0 >,"SubjectPool
Yes 
182 ","Setting
Online (at home) 
             182 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            182 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      182 ","analysis.type
Primary 
    182 ","subset
all 
182 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:22.974776Z,18,Risen,2,,carleton,Primary,Risen.1,120,59,61,Unprepared,as.numeric.ignore.,59,,,,,4.11864406779661,2.53992089045086,3,3.91836734693878,2,1,10,9,0.65556666365893,2.48900417674553,0.330669534705242,Prepared,as.numeric.ignore.,61,,,,,3.9672131147541,2.3019355125253,4,3.83673469387755,2,1,9,8,0.263521106601292,2.12483395379536,0.294732640830472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.11864406779661,3.9672131147541,0.342428817228658,0.732637390955136,118,-0.724297078312978,1.027158984398, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 0.34243, df = 118, p-value = 0.7326
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.7242971  1.0271590
sample estimates:
mean of x mean of y 
 4.118644  3.967213 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.342428817228658,-1.61874534665918,2.30215424864115,120,59,61,0.06253,0.03336,-0.29558,0.42037,52.49286,51.76329,0.03527,0.7327,0.06213,0.03294,-0.2937,0.41769,52.477,51.75207,0.7327,0.03151,0.00839,-0.14739,0.20733,0.73377,0.03152,0.00855,-0.14847,0.21038,1.12009,0.58501,2.14357,0.7327,0.11341,-0.53613,0.76247,0.7327,,,,,,,,carleton,carleton,"Carleton University, Ottawa, Canada",John M. Zelenski,ML2_Slate2_CanadaEng_online_DEPLOY__carleton_r.csv,DO.BR.FL_5,DO.BR.FL_6,Canada,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,carleton,1,1,1,1,1,1,120,15,78,120,120,0,100,< table of extent 0 >,"SubjectPool
Yes 
120 ","Setting
Online (at home) 
             120 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            120 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      120 ","analysis.type
Primary 
    120 ","subset
all 
120 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:23.044835Z,18,Risen,2,,csunorthonline,Primary,Risen.1,88,42,46,Unprepared,as.numeric.ignore.,42,,,,,5.19047619047619,2.59679065751005,5,5.05882352941176,2,1,10,9,0.414072627104727,2.34396776043503,0.400693497604064,Prepared,as.numeric.ignore.,46,,,,,4.76086956521739,2.12063703855124,5,4.68421052631579,2,1,10,9,0.317595362765044,2.58832163607433,0.312670873258523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,5.19047619047619,4.76086956521739,0.853069863209963,0.395990259505169,86,-0.571518537415804,1.4307317879334, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 0.85307, df = 86, p-value = 0.396
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.5715185  1.4307318
sample estimates:
mean of x mean of y 
 5.190476  4.760870 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.853069863209963,-1.1134902032146,2.81469739807042,88,42,46,0.18206,0.04574,-0.23764,0.60072,57.22335,55.12176,0.10244,0.39696,0.18047,0.04494,-0.23556,0.59546,57.16085,55.07721,0.39696,0.0916,0.0113,-0.11921,0.29043,0.3994,0.09186,0.01176,-0.11978,0.29904,1.39128,0.64984,2.97302,0.39696,0.33023,-0.43104,1.08958,0.39696,,,,,,,,csunorthonline,csunorthonline,"Department of Psychology, California State University, Northridge, Northridge, CA 91330",Abraham M. Rutchick,ML2_Slate2_USEng_Inlab_DEPLOY_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,csunorthonline,1,1,1,1,1,1,88,15,61,88,88,0,100,< table of extent 0 >,"SubjectPool
Yes 
 88 ","Setting
Online (at home) 
              88 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                             88 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       88 ","analysis.type
Primary 
     88 ","subset
all 
 88 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:23.111873Z,18,Risen,2,,georgefox,Primary,Risen.1,139,64,75,Unprepared,as.numeric.ignore.,64,,,,,4.5,2.23251584185353,4,4.36538461538462,2,1,10,9,0.539171319729077,2.96320337539048,0.279064480231692,Prepared,as.numeric.ignore.,75,,,,,3.94666666666667,2.0917685090601,4,3.86885245901639,2,1,8,7,0.30295848212591,2.06172365410452,0.241536622357646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.5,3.94666666666667,1.50703249770746,0.134104753087387,137,-0.172715113404444,1.27938178007111, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 1.507, df = 137, p-value = 0.1341
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.1727151  1.2793818
sample estimates:
mean of x mean of y 
 4.500000  3.946667 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.50703249770746,-0.463748915138943,3.47236175955774,139,64,75,0.25645,0.02919,-0.07892,0.5909,60.11998,57.19498,0.1439,0.13568,0.25505,0.02888,-0.07848,0.58766,60.06568,57.15594,0.13568,0.1277,0.00701,-0.03959,0.28441,0.13659,0.1284,0.00735,-0.03961,0.29248,1.59226,0.86663,2.92054,0.13568,0.46516,-0.14314,1.07177,0.13568,,,,,,,,georgefox,georgefox,"George Fox University, Newberg, OR",Susan L. O’Donnell,ML2_Slate2_USEng_Inlab_DEPLOY__georgefox_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,georgefox,1,1,1,1,1,1,139,15,88,139,139,0,100,< table of extent 0 >,"SubjectPool
Yes 
139 ","Setting
Online (at home) 
             139 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            139 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      139 ","analysis.type
Primary 
    139 ","subset
all 
139 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:23.174985Z,18,Risen,2,,hawaiion,Primary,Risen.1,123,55,68,Unprepared,as.numeric.ignore.,55,,,,,4.29090909090909,2.2906632330262,4,4.22222222222222,2,1,9,8,0.160720243715358,1.89039955422083,0.308872967331174,Prepared,as.numeric.ignore.,68,,,,,3.95588235294118,2.35906523056739,4,3.82142857142857,2,1,9,8,0.286734765814934,1.93920453169801,0.286078680098572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,4.29090909090909,3.95588235294118,0.7932917738223,0.429160684081548,121,-0.501076467922424,1.17112994385825, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 0.79329, df = 121, p-value = 0.4292
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.5010765  1.1711299
sample estimates:
mean of x mean of y 
 4.290909  3.955882 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.7932917738223,-1.17084697054261,2.75416394367702,123,55,68,0.14386,0.03297,-0.21233,0.49947,55.71958,54.05132,0.08103,0.42975,0.14297,0.03256,-0.21101,0.49636,55.68429,54.02624,0.42975,0.07193,0.00811,-0.10584,0.24288,0.43147,0.07206,0.00833,-0.10624,0.24783,1.29815,0.68036,2.47424,0.42975,0.26094,-0.38513,0.90593,0.42975,,,,,,,,hawaiion,hawaiion,"University of Hawaii, Honolulu, HI",David Cicero,ML2_Slate2_USEng_DEPLOY__hawaiion_r.csv,DO.BR.FL_5,DO.BR.FL_6,USA,English,1,Yes,Online (at home),Unable to verify (completed online) but likely mostly computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,hawaiion,1,1,1,1,1,1,123,15,73,123,123,0,100,< table of extent 0 >,"SubjectPool
Yes 
123 ","Setting
Online (at home) 
             123 ","Tablet
Unable to verify (completed online) but likely mostly computers 
                                                            123 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      123 ","analysis.type
Primary 
    123 ","subset
all 
123 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:23.239382Z,18,Risen,2,,help,Primary,Risen.1,90,44,46,Unprepared,as.numeric.ignore.,44,,,,,5.20454545454545,2.29842762688438,5.5,5.16666666666667,1.5,1,10,9,0.0256332225135708,2.22473751132695,0.346501002098294,Prepared,as.numeric.ignore.,46,,,,,4.56521739130435,2.47343372584253,4.5,4.42105263157895,1.5,1,10,9,0.491270961057703,2.50144260180718,0.364687906957718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,5.20454545454545,4.56521739130435,1.26881081118328,0.207854471821471,88,-0.362027039649536,1.64068316613175, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 1.2688, df = 88, p-value = 0.2079
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.362027  1.640683
sample estimates:
mean of x mean of y 
 5.204545  4.565217 
",,,,,,,,,,,,,,,,,,,,,,,,,,1.26881081118328,-0.703639569837926,3.23412449223751,90,44,46,0.26755,0.04486,-0.14838,0.68198,60.5479,57.5028,0.15006,0.20986,0.26527,0.0441,-0.14711,0.67615,60.45985,57.43942,0.20986,0.13404,0.01084,-0.0748,0.32593,0.2118,0.13485,0.01149,-0.07494,0.33827,1.62465,0.76405,3.44519,0.20986,0.48529,-0.26913,1.23698,0.20986,,,,,,,,help,help,"HELP University, Malaysia",Winnee Cheong,ML2_Slate2_MalaysiaEng_Inlab_r.csv,DO.BR.FL_5,DO.BR.FL_6,Malaysia,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,help,1,1,1,1,1,1,90,15,64,90,90,0,0,< table of extent 0 >,"SubjectPool
Yes 
 90 ","Setting
In a lab 
      90 ","Tablet
Computers 
       90 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                       90 ","analysis.type
Primary 
     90 ","subset
all 
 90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-29T17:35:23.306949Z,18,Risen,2,,isb,Primary,Risen.1,188,83,105,Unprepared,as.numeric.ignore.,83,,,,,5.66265060240964,2.17680179606674,6,5.70149253731343,1,1,10,9,-0.132721017679973,2.681215601947,0.238935038289495,Prepared,as.numeric.ignore.,105,,,,,5.61904761904762,2.63621579155306,5,5.64705882352941,2,1,10,9,-0.044393352509229,2.32079446882022,0.25726831832847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,,5.66265060240964,5.61904761904762,0.121453110274209,0.90346326208481,186,-0.664653646319379,0.75185961304342, Two Sample t-test,two.sided,t,TRUE,"
	Two Sample t-test

data:  Unprepared and Prepared
t = 0.12145, df = 186, p-value = 0.9035
alternative hypothesis: true difference in means is not equal to 0
95 percent confidence interval:
 -0.6646536  0.7518596
sample estimates:
mean of x mean of y 
 5.662651  5.619048 
",,,,,,,,,,,,,,,,,,,,,,,,,,0.121453110274209,-1.8387128074653,2.08129277431364,188,83,105,0.01784,0.02157,-0.27006,0.30569,50.71161,50.5032,0.01006,0.90347,0.01777,0.0214,-0.26897,0.30445,50.70874,50.50116,0.90347,0.00891,0.00535,-0.13361,0.15086,0.90372,0.00891,0.00541,-0.13442,0.15202,1.03288,0.61273,1.74099,0.90347,0.03236,-0.48983,0.55446,0.90347,,,,,,,,isb,isb,"Indian School of Business, India","Tanuka Ghoshal, Rishtee Batra",ML2_Slate2_IndiaEng_Inlab_DEPLOY__isb_r.csv,DO.BR.FL_5,DO.BR.FL_6,India,English,0,Yes,In a lab,Computers,"No, the whole study was on the computer (except maybe consent/debriefing)",,Slate2,isb,1,1,1,1,1,1,188,15,95,188,188,0,0,< table of extent 0 >,"SubjectPool
Yes 
188 ","Setting
In a lab 
     188 ","Tablet
Computers 
      188 ","Pencil
No, the whole study was on the computer (except maybe consent/debriefing) 
                                                                      188 ","analysis.type
Primary 
    188 ","subset
all 
188 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
